timestamp,oracle,planner,match,confidence
2025-09-17T18:20:00Z,EXPAND,EXPAND,true,0.95
2025-09-17T18:21:00Z,HOLD,HOLD,true,0.92
2025-09-17T18:22:00Z,EXPAND,EXPAND,true,0.94
2025-09-17T18:23:00Z,HOLD,HOLD,true,0.91
2025-09-17T18:24:00Z,EXPAND,EXPAND,true,0.93
2025-09-17T18:25:00Z,HOLD,HOLD,true,0.90
2025-09-17T18:26:00Z,EXPAND,EXPAND,true,0.92
2025-09-17T18:27:00Z,HOLD,HOLD,true,0.91
2025-09-17T18:28:00Z,EXPAND,EXPAND,true,0.94
2025-09-17T18:29:00Z,HOLD,HOLD,true,0.93
2025-09-17T18:30:00Z,EXPAND,EXPAND,true,0.95
2025-09-17T18:31:00Z,HOLD,HOLD,true,0.91
2025-09-17T18:32:00Z,EXPAND,EXPAND,true,0.92
2025-09-17T18:33:00Z,HOLD,HOLD,true,0.90
2025-09-17T18:34:00Z,EXPAND,EXPAND,true,0.94
2025-09-17T18:35:00Z,HOLD,EXPAND,false,0.88
2025-09-17T18:36:00Z,EXPAND,EXPAND,true,0.93
2025-09-17T18:37:00Z,HOLD,EXPAND,false,0.87
2025-09-17T18:38:00Z,EXPAND,EXPAND,true,0.95
2025-09-17T18:39:00Z,HOLD,HOLD,true,0.92
